553,07/05/2026 18:46:48,50819.1758,ON,8.27,8.63
554,07/05/2026 18:46:49,58173.4727,ON,8.27,8.63
555,07/05/2026 18:46:50,53621.0547,ON,8.27,8.63
556,07/05/2026 18:46:51,44044.9766,ON,8.27,8.63
557,07/05/2026 18:46:52,45929.9844,ON,8.27,8.63
558,07/05/2026 18:46:53,42588.8125,ON,8.27,8.63
559,07/05/2026 18:46:54,55222.5313,ON,8.27,8.63
560,07/05/2026 18:46:55,39295.2109,ON,8.27,8.63
561,07/05/2026 18:46:56,53673.3320,ON,8.27,8.63
562,07/05/2026 18:46:57,44735.8711,ON,8.27,8.63
563,07/05/2026 18:46:58,42064.6406,ON,8.27,8.63
564,07/05/2026 18:46:59,43191.6992,ON,8.27,8.63
565,07/05/2026 18:47:00,51829.5859,ON,8.27,8.63
566,07/05/2026 18:47:01,48642.8164,ON,8.27,8.63
567,07/05/2026 18:47:02,55848.6992,ON,8.27,8.63
568,07/05/2026 18:47:03,69856.5391,ON,8.27,8.63
569,07/05/2026 18:47:04,51553.1445,ON,8.27,8.63
570,07/05/2026 18:47:05,62861.3008,ON,8.27,8.63
571,07/05/2026 18:47:06,61676.1055,ON,8.27,8.63
572,07/05/2026 18:47:07,75894.4609,ON,8.27,8.63
573,07/05/2026 18:47:08,51283.8438,ON,8.27,8.63
574,07/05/2026 18:47:09,65577.6250,ON,8.27,8.63
575,07/05/2026 18:47:10,63050.9063,ON,8.27,8.63
576,07/05/2026 18:47:11,51894.0977,ON,8.27,8.63
577,07/05/2026 18:47:12,50058.1680,ON,8.27,8.63
578,07/05/2026 18:47:13,61187.7109,ON,8.27,8.63
579,07/05/2026 18:47:14,60418.7188,ON,8.27,8.63
580,07/05/2026 18:47:15,72909.2109,ON,8.27,8.63
581,07/05/2026 18:47:16,63374.0039,ON,8.27,8.63
582,07/05/2026 18:47:17,54724.2266,ON,8.27,8.63
583,07/05/2026 18:47:18,56540.7227,ON,8.27,8.63
584,07/05/2026 18:47:19,51250.1523,ON,8.27,8.63
585,07/05/2026 18:47:20,65507.0625,ON,8.27,8.63
586,07/05/2026 18:47:21,66297.9219,ON,8.27,8.63
587,07/05/2026 18:47:22,52059.5391,ON,8.27,8.63
588,07/05/2026 18:47:23,68801.1172,ON,8.27,8.63
589,07/05/2026 18:47:24,40999.1055,ON,8.27,8.63
590,07/05/2026 18:47:25,49861.2148,ON,8.27,8.63
591,07/05/2026 18:47:26,70587.5000,ON,8.27,8.63
592,07/05/2026 18:47:27,51188.2539,ON,8.27,8.63
593,07/05/2026 18:47:28,62535.7617,ON,8.27,8.63
594,07/05/2026 18:47:29,58622.7813,ON,8.27,8.63
595,07/05/2026 18:47:30,55990.5313,ON,8.27,8.63
596,07/05/2026 18:47:31,68698.2734,ON,8.27,8.63
597,07/05/2026 18:47:32,43024.7969,ON,8.27,8.63
598,07/05/2026 18:47:33,58650.9023,ON,8.27,8.63
599,07/05/2026 18:47:34,58299.4648,ON,8.27,8.63
600,07/05/2026 18:47:35,67657.2344,ON,8.27,8.63
601,07/05/2026 18:47:36,51728.2383,ON,8.27,8.63
602,07/05/2026 18:47:37,48151.1094,ON,8.27,8.63
603,07/05/2026 18:47:38,63975.3906,ON,8.27,8.63
604,07/05/2026 18:47:39,48621.5820,ON,8.27,8.63
605,07/05/2026 18:47:40,73291.9219,ON,8.27,8.63
606,07/05/2026 18:47:41,56149.3125,ON,8.27,8.63
607,07/05/2026 18:47:42,43568.7539,ON,8.27,8.63
608,07/05/2026 18:47:43,62197.5078,ON,8.27,8.63
609,07/05/2026 18:47:44,46182.2148,ON,8.27,8.63
610,07/05/2026 18:47:45,38916.9727,ON,8.27,8.63
611,07/05/2026 18:47:46,54659.8672,ON,8.27,8.63
612,07/05/2026 18:47:47,55434.4844,ON,8.27,8.63
613,07/05/2026 18:47:48,64525.8828,ON,8.27,8.63
614,07/05/2026 18:47:49,48793.0664,ON,8.27,8.63
615,07/05/2026 18:47:50,44968.6563,ON,8.27,8.63
616,07/05/2026 18:47:51,82536.9609,ON,8.27,8.63
617,07/05/2026 18:47:52,44790.5938,ON,8.27,8.63
618,07/05/2026 18:47:53,76049.0625,ON,8.27,8.63
619,07/05/2026 18:47:54,61496.9805,ON,8.27,8.63
620,07/05/2026 18:47:55,78773.1875,ON,8.27,8.63
621,07/05/2026 18:47:56,77511.9063,ON,8.27,8.63
622,07/05/2026 18:47:57,59795.4336,ON,8.27,8.63
623,07/05/2026 18:47:58,75511.6875,ON,8.27,8.63
624,07/05/2026 18:47:59,85101.4844,ON,8.27,8.63
625,07/05/2026 18:48:00,68780.2813,ON,8.27,8.63
